"x","y","n","distinct sides","Elapsed Time (ms)"
768,384,100,179,139
768,512,100,167,159
768,640,100,175,186
768,768,100,174,175
768,896,100,176,261
768,1024,100,180,341
768,1152,100,184,388
768,1280,100,178,469
768,1408,100,181,540
768,1536,100,186,655
768,1664,100,184,697
768,1792,100,190,749
768,1920,100,188,865
768,2048,100,189,965
768,2176,100,192,966
768,2304,100,182,1073
768,2432,100,188,1279
768,2560,100,188,1358
768,2688,100,193,1451
768,2816,100,188,1535
768,2944,100,186,1586
768,3072,100,194,1822
768,3200,100,184,1736
768,3328,100,188,1940
768,3456,100,192,2088
768,3584,100,189,2174
768,3712,100,192,2216
768,3840,100,189,2252
768,3968,100,189,2345
768,4096,100,185,2417
768,4224,100,195,2611
768,4352,100,192,2669
768,4480,100,189,2806
768,4608,100,192,2701
768,4736,100,192,3197
768,4864,100,188,2969
768,4992,100,192,3095
768,5120,100,195,3409
768,5248,100,188,3315
768,5376,100,195,3426
768,5504,100,189,3579
768,5632,100,189,3681
768,5760,100,194,3841
768,5888,100,193,3838
768,6016,100,194,4046
768,6144,100,199,3997
768,6272,100,193,4174
768,6400,100,186,4220
768,6528,100,189,4514
768,6656,100,192,4553
768,6784,100,192,4893
768,6912,100,191,4452
768,7040,100,194,4993
768,7168,100,193,5055
768,7296,100,195,4749
768,7424,100,187,5003
768,7552,100,195,5303
768,7680,100,187,5192
768,7808,100,190,5400
768,7936,100,194,5621
768,8064,100,192,5860
768,8192,100,193,6084
896,128,100,153,48
896,256,100,169,106
896,384,100,172,155
896,512,100,175,192
896,640,100,176,215
896,768,100,182,271
896,896,100,182,241
896,1024,100,184,329
896,1152,100,182,415
896,1280,100,184,532
896,1408,100,187,602
896,1536,100,179,654
896,1664,100,180,780
896,1792,100,191,982
896,1920,100,184,999
896,2048,100,183,1107
896,2176,100,192,1304
896,2304,100,189,1356
896,2432,100,190,1377
896,2560,100,194,1529
896,2688,100,190,1684
896,2816,100,192,1755
896,2944,100,195,2026
896,3072,100,187,2160
896,3200,100,189,2242
896,3328,100,192,2395
896,3456,100,191,2500
896,3584,100,195,2403
896,3712,100,192,2667
896,3840,100,196,2533
896,3968,100,193,2868
896,4096,100,190,2787
896,4224,100,191,3309
896,4352,100,194,3408
896,4480,100,190,3077
896,4608,100,191,3354
896,4736,100,188,3585
896,4864,100,188,3825
896,4992,100,193,3825
896,5120,100,190,3843
896,5248,100,191,3926
896,5376,100,193,4164
896,5504,100,191,4248
896,5632,100,193,4362
896,5760,100,195,4623
896,5888,100,193,4940
896,6016,100,192,4780
896,6144,100,194,5081
896,6272,100,191,5034
896,6400,100,193,4885
896,6528,100,189,5155
896,6656,100,191,5574
896,6784,100,194,5755
896,6912,100,194,5730
896,7040,100,195,5764
896,7168,100,195,6020
896,7296,100,192,6174
896,7424,100,194,5989
896,7552,100,192,6592
896,7680,100,190,6589
896,7808,100,190,6420
896,7936,100,196,6895
896,8064,100,195,6893
896,8192,100,196,6595
1024,128,100,150,59
1024,256,100,167,133
1024,384,100,174,197
1024,512,100,174,245
1024,640,100,178,307
1024,768,100,179,331
1024,896,100,186,365
1024,1024,100,180,340
1024,1152,100,189,438
1024,1280,100,184,557
1024,1408,100,187,657
1024,1536,100,187,758
1024,1664,100,189,916
1024,1792,100,188,1016
1024,1920,100,190,1075
1024,2048,100,189,1249
1024,2176,100,185,1340
1024,2304,100,184,1382
1024,2432,100,184,1630
1024,2560,100,186,1737
1024,2688,100,192,1851
1024,2816,100,191,2012
1024,2944,100,190,2101
1024,3072,100,188,2219
1024,3200,100,193,2466
1024,3328,100,191,2631
1024,3456,100,189,2689
1024,3584,100,188,2965
1024,3712,100,187,2985
1024,3840,100,191,3135
1024,3968,100,193,3221
1024,4096,100,191,3381
1024,4224,100,191,3418
1024,4352,100,192,3773
1024,4480,100,196,3988
1024,4608,100,194,3983
1024,4736,100,193,4154
1024,4864,100,194,4328
1024,4992,100,191,4406
1024,5120,100,190,4509
1024,5248,100,195,4573
1024,5376,100,194,5002
1024,5504,100,190,4869
1024,5632,100,195,5399
1024,5760,100,191,4876
1024,5888,100,195,5366
1024,6016,100,196,5811
1024,6144,100,190,5653
1024,6272,100,196,5940
1024,6400,100,190,5885
1024,6528,100,190,6207
1024,6656,100,194,6450
1024,6784,100,188,5930
1024,6912,100,193,6787
1024,7040,100,197,7023
1024,7168,100,195,7133
1024,7296,100,192,7007
1024,7424,100,197,7254
1024,7552,100,197,7474
1024,7680,100,194,7864
1024,7808,100,196,8028
1024,7936,100,190,7542
1024,8064,100,194,8274
1024,8192,100,192,8420
1152,128,100,159,70
1152,256,100,173,149
1152,384,100,180,232
1152,512,100,181,295
1152,640,100,175,337
1152,768,100,177,397
1152,896,100,181,460
1152,1024,100,184,451
1152,1152,100,191,434
1152,1280,100,189,557
1152,1408,100,188,713
1152,1536,100,190,811
1152,1664,100,186,948
1152,1792,100,192,1015
1152,1920,100,193,1270
1152,2048,100,191,1358
1152,2176,100,193,1571
1152,2304,100,190,1689
1152,2432,100,193,1775
1152,2560,100,188,1951
1152,2688,100,194,2311
1152,2816,100,189,2183
1152,2944,100,192,2472
1152,3072,100,192,2699
1152,3200,100,189,2868
1152,3328,100,189,2887
1152,3456,100,196,2955
1152,3584,100,194,3414
1152,3712,100,191,3321
1152,3840,100,191,3743
1152,3968,100,191,3782
1152,4096,100,196,3835
1152,4224,100,184,3884
1152,4352,100,197,4381
1152,4480,100,190,4447
1152,4608,100,190,4541
1152,4736,100,192,4704
1152,4864,100,197,4868
1152,4992,100,192,4894
1152,5120,100,192,5159
1152,5248,100,194,5600
1152,5376,100,195,5962
1152,5504,100,193,5848
1152,5632,100,193,6067
1152,5760,100,194,6051
1152,5888,100,194,6266
1152,6016,100,194,6251
1152,6144,100,192,6803
1152,6272,100,189,6462
1152,6400,100,194,7050
1152,6528,100,194,7641
1152,6656,100,196,7318
1152,6784,100,197,8071
1152,6912,100,195,7233
1152,7040,100,194,7536
1152,7168,100,193,7981
1152,7296,100,194,7762
1152,7424,100,199,8146
1152,7552,100,194,8814
1152,7680,100,192,8400
1152,7808,100,194,8052
1152,7936,100,195,8576
1152,8064,100,191,8206
1152,8192,100,196,8371
